iter	Passed	Remaining
939	15648	9322
940	15654	9299
941	15670	9282
942	15674	9258
943	15676	9233
944	15693	9216
945	15708	9199
946	15721	9180
947	15725	9156
948	15730	9133
949	15737	9111
950	15742	9087
951	15746	9064
952	15748	9039
953	15766	9023
954	15769	8999
955	15775	8976
956	15783	8955
957	15786	8931
958	15797	8912
959	15805	8890
960	15811	8868
961	15824	8849
962	15832	8828
963	15835	8804
964	15846	8785
965	15853	8763
966	15855	8739
967	15858	8715
968	15860	8691
969	15876	8674
970	15879	8651
971	15883	8627
972	15885	8603
973	15887	8579
974	15890	8556
975	15892	8532
976	15894	8508
977	15897	8485
978	15909	8466
979	15911	8442
980	15922	8423
981	15924	8400
982	15926	8376
983	15928	8352
984	15930	8329
985	15932	8305
986	15935	8282
987	15937	8259
988	15940	8236
989	15948	8216
990	15951	8192
991	15953	8169
992	15956	8147
993	15959	8124
994	15964	8102
995	15966	8079
996	15968	8056
997	15970	8033
998	15982	8015
999	15985	7992
1000	15988	7970
1001	15994	7949
1002	15996	7926
1003	16002	7905
1004	16005	7883
1005	16007	7860
1006	16009	7837
1007	16011	7815
1008	16013	7792
1009	16016	7770
1010	16018	7747
1011	16020	7725
1012	16025	7704
1013	16027	7681
1014	16029	7659
1015	16031	7637
1016	16033	7614
1017	16035	7592
1018	16038	7570
1019	16042	7549
1020	16045	7527
1021	16047	7505
1022	16067	7492
1023	16072	7471
1024	16079	7451
1025	16084	7430
1026	16088	7409
1027	16091	7388
1028	16094	7367
1029	16096	7345
1030	16099	7323
1031	16101	7301
1032	16103	7280
1033	16106	7258
1034	16108	7237
1035	16110	7215
1036	16113	7194
1037	16115	7172
1038	16118	7151
1039	16126	7132
1040	16128	7111
1041	16131	7090
1042	16133	7069
1043	16136	7048
1044	16138	7026
1045	16141	7005
1046	16143	6984
1047	16145	6963
1048	16147	6942
1049	16149	6921
1050	16152	6900
1051	16154	6879
1052	16158	6859
1053	16160	6838
1054	16162	6817
1055	16165	6797
1056	16168	6776
1057	16170	6755
1058	16173	6735
1059	16175	6714
1060	16178	6693
1061	16180	6673
1062	16182	6652
1063	16185	6632
1064	16189	6612
1065	16191	6592
1066	16196	6572
1067	16198	6552
1068	16201	6532
1069	16203	6511
1070	16206	6491
1071	16211	6472
1072	16213	6452
1073	16215	6431
1074	16218	6411
1075	16220	6391
1076	16223	6371
1077	16226	6352
1078	16229	6332
1079	16232	6312
1080	16235	6292
1081	16256	6280
1082	16258	6260
1083	16261	6240
1084	16263	6220
1085	16265	6200
1086	16270	6181
1087	16274	6162
1088	16276	6142
1089	16278	6123
1090	16280	6103
1091	16283	6083
1092	16289	6065
1093	16291	6046
1094	16293	6026
1095	16296	6007
1096	16298	5987
1097	16301	5968
1098	16304	5949
1099	16306	5929
1100	16308	5910
1101	16311	5890
1102	16312	5871
1103	16316	5852
1104	16318	5833
1105	16320	5813
1106	16323	5795
1107	16325	5775
1108	16328	5757
1109	16331	5738
1110	16334	5719
1111	16336	5700
1112	16338	5681
1113	16341	5662
1114	16343	5643
1115	16354	5627
1116	16356	5608
1117	16359	5589
1118	16361	5570
1119	16363	5551
1120	16365	5533
1121	16368	5514
1122	16370	5495
1123	16372	5476
1124	16374	5458
1125	16376	5439
1126	16378	5420
1127	16380	5402
1128	16383	5383
1129	16385	5365
1130	16387	5346
1131	16390	5328
1132	16392	5309
1133	16394	5291
1134	16397	5273
1135	16399	5254
1136	16401	5236
1137	16404	5218
1138	16407	5200
1139	16409	5181
1140	16411	5163
1141	16414	5145
1142	16416	5127
1143	16418	5109
1144	16421	5091
1145	16423	5073
1146	16426	5055
1147	16428	5037
1148	16430	5019
1149	16432	5001
1150	16435	4983
1151	16437	4965
1152	16440	4947
1153	16442	4929
1154	16445	4912
1155	16447	4894
1156	16450	4876
1157	16452	4859
1158	16455	4841
1159	16457	4823
1160	16459	4805
1161	16461	4788
1162	16464	4770
1163	16466	4753
1164	16469	4735
1165	16471	4718
1166	16474	4700
1167	16476	4683
1168	16478	4665
1169	16480	4648
1170	16482	4630
1171	16485	4613
1172	16487	4596
1173	16489	4578
1174	16491	4561
1175	16494	4544
1176	16496	4527
1177	16498	4509
1178	16501	4492
1179	16504	4475
1180	16506	4458
1181	16508	4441
1182	16510	4424
1183	16512	4407
1184	16514	4389
1185	16516	4372
1186	16518	4355
1187	16519	4338
1188	16521	4321
1189	16523	4304
1190	16526	4287
1191	16528	4270
1192	16530	4253
1193	16532	4237
1194	16534	4220
1195	16536	4203
1196	16538	4186
1197	16540	4169
1198	16542	4152
1199	16545	4136
1200	16548	4119
1201	16551	4103
1202	16553	4086
1203	16555	4070
1204	16557	4053
1205	16559	4036
1206	16561	4020
1207	16563	4003
1208	16565	3987
1209	16567	3970
1210	16569	3954
1211	16571	3937
1212	16573	3921
1213	16575	3904
1214	16577	3888
1215	16579	3872
1216	16581	3855
1217	16583	3839
1218	16585	3823
1219	16587	3807
1220	16589	3790
1221	16591	3774
1222	16593	3758
1223	16595	3742
1224	16597	3726
1225	16599	3709
1226	16601	3693
1227	16603	3677
1228	16605	3661
1229	16607	3645
1230	16610	3629
1231	16612	3613
1232	16613	3597
1233	16615	3581
1234	16617	3565
1235	16619	3549
1236	16621	3533
1237	16623	3518
1238	16625	3502
1239	16627	3486
1240	16629	3470
1241	16631	3454
1242	16633	3439
1243	16635	3423
1244	16637	3407
1245	16639	3392
1246	16641	3376
1247	16643	3360
1248	16645	3345
1249	16647	3329
1250	16649	3313
1251	16651	3298
1252	16653	3282
1253	16655	3267
1254	16657	3251
1255	16659	3236
1256	16661	3220
1257	16663	3205
1258	16665	3190
1259	16667	3174
1260	16669	3159
1261	16671	3144
1262	16673	3128
1263	16675	3113
1264	16676	3098
1265	16678	3082
1266	16680	3067
1267	16682	3052
1268	16684	3037
1269	16686	3022
1270	16688	3006
1271	16690	2991
1272	16691	2976
1273	16693	2961
1274	16695	2946
1275	16697	2931
1276	16699	2916
1277	16701	2901
1278	16703	2886
1279	16705	2871
1280	16707	2856
1281	16709	2841
1282	16711	2826
1283	16712	2811
1284	16714	2796
1285	16716	2781
1286	16718	2766
1287	16720	2752
1288	16721	2737
1289	16723	2722
1290	16725	2707
1291	16726	2692
1292	16728	2678
1293	16730	2663
1294	16732	2648
1295	16734	2634
1296	16736	2619
1297	16738	2604
1298	16739	2590
1299	16741	2575
1300	16743	2561
1301	16745	2546
1302	16747	2531
1303	16749	2517
1304	16750	2503
1305	16752	2488
1306	16754	2474
1307	16756	2459
1308	16757	2445
1309	16759	2430
1310	16761	2416
1311	16763	2402
1312	16765	2387
1313	16767	2373
1314	16769	2359
1315	16771	2344
1316	16772	2330
1317	16774	2316
1318	16776	2302
1319	16778	2287
1320	16780	2273
1321	16782	2259
1322	16784	2245
1323	16786	2231
1324	16788	2217
1325	16790	2203
1326	16792	2189
1327	16794	2175
1328	16796	2161
1329	16798	2147
1330	16800	2133
1331	16802	2119
1332	16804	2105
1333	16806	2091
1334	16808	2077
1335	16810	2063
1336	16812	2049
1337	16813	2035
1338	16815	2021
1339	16817	2008
1340	16818	1994
1341	16820	1980
1342	16823	1966
1343	16824	1952
1344	16826	1939
1345	16828	1925
1346	16830	1911
1347	16832	1898
1348	16834	1884
1349	16836	1870
1350	16838	1857
1351	16840	1843
1352	16841	1829
1353	16844	1816
1354	16846	1802
1355	16848	1789
1356	16850	1775
1357	16852	1762
1358	16854	1748
1359	16856	1735
1360	16858	1721
1361	16860	1708
1362	16862	1694
1363	16864	1681
1364	16866	1668
1365	16868	1654
1366	16870	1641
1367	16872	1628
1368	16874	1614
1369	16876	1601
1370	16879	1588
1371	16882	1575
1372	16884	1561
1373	16886	1548
1374	16888	1535
1375	16890	1522
1376	16893	1509
1377	16895	1495
1378	16898	1482
1379	16901	1469
1380	16903	1456
1381	16907	1443
1382	16909	1430
1383	16911	1417
1384	16913	1404
1385	16916	1391
1386	16918	1378
1387	16921	1365
1388	16924	1352
1389	16926	1339
1390	16928	1326
1391	16930	1313
1392	16933	1300
1393	16935	1287
1394	16938	1274
1395	16940	1262
1396	16943	1249
1397	16945	1236
1398	16947	1223
1399	16949	1210
1400	16951	1197
1401	16954	1185
1402	16956	1172
1403	16958	1159
1404	16960	1146
1405	16962	1134
1406	16964	1121
1407	16966	1108
1408	16968	1095
1409	16970	1083
1410	16972	1070
1411	16974	1057
1412	16976	1045
1413	16978	1032
1414	16980	1020
1415	16982	1007
1416	16984	994
1417	16986	982
1418	16987	969
1419	16990	957
1420	16992	944
1421	16994	932
1422	16996	919
1423	16998	907
1424	17000	894
1425	17003	882
1426	17005	869
1427	17007	857
1428	17009	845
1429	17012	832
1430	17014	820
1431	17016	808
1432	17018	795
1433	17020	783
1434	17022	771
1435	17024	758
1436	17026	746
1437	17028	734
1438	17031	721
1439	17033	709
1440	17036	697
1441	17038	685
1442	17040	673
1443	17042	660
1444	17045	648
1445	17047	636
1446	17049	624
1447	17050	612
1448	17052	600
1449	17055	588
1450	17057	576
1451	17060	563
1452	17061	551
1453	17063	539
1454	17065	527
1455	17067	515
1456	17070	503
1457	17072	491
1458	17073	479
1459	17076	467
1460	17078	455
1461	17081	443
1462	17083	432
1463	17085	420
1464	17087	408
1465	17089	396
1466	17091	384
1467	17093	372
1468	17096	360
1469	17099	348
1470	17101	337
1471	17103	325
1472	17105	313
1473	17107	301
1474	17109	289
1475	17111	278
1476	17114	266
1477	17116	254
1478	17119	243
1479	17121	231
1480	17123	219
1481	17125	208
1482	17127	196
1483	17129	184
1484	17133	173
1485	17135	161
1486	17137	149
1487	17139	138
1488	17141	126
1489	17144	115
1490	17146	103
1491	17149	91
1492	17151	80
1493	17153	68
1494	17155	57
1495	17157	45
1496	17160	34
1497	17162	22
1498	17164	11
1499	17166	0
9	56
1496	21152	42
1497	21155	28
1498	21157	14
1499	21161	0
8	30996	228
1489	31000	208
1490	31002	187
1491	31025	166
1492	31031	145
1493	31052	124
1494	31055	103
1495	31058	83
1496	31061	62
1497	31094	41
1498	31096	20
1499	31126	0
497	37723	50
1498	37726	25
1499	37728	0
